company_year_id,company_id,annual_report_id,ticker,name,cik,fiscal_year,filing_date,sec_accession_id,report_path,report_hash,file_format,file_size_bytes,extraction_status,form_type,data_version,created_at,updated_at
32,11,46,CMG,Chipotle Mexican Grill,0001058090,2023,,cmg_10k_2023,data/raw/annual_reports/1058090/2023/cmg_10k_2023.html,55a2fff9f9144e0001237162dc2f770858460ac6d396907bcbe093ae928a9bc0,html,4387354,pending,10-K,v1,2025-12-06T19:23:55.190099+11:00,
30,11,44,CMG,Chipotle Mexican Grill,0001058090,2021,,cmg_10k_2021,data/raw/annual_reports/1058090/2021/cmg_10k_2021.txt,e764ef12f21ba727fb6e810c167a2486de16baa562ea71d14ff2b013183c06c6,txt,16225684,pending,10-K,v1,2025-12-06T19:23:55.190099+11:00,
31,11,45,CMG,Chipotle Mexican Grill,0001058090,2022,,cmg_10k_2022,data/raw/annual_reports/1058090/2022/cmg_10k_2022.html,17f2097b2d7615c2f1e42bec933da48fcaafd7ae050ec473e3130e71316fd124,html,4134802,pending,10-K,v1,2025-12-06T19:23:55.190099+11:00,
33,11,47,CMG,Chipotle Mexican Grill,0001058090,2024,,cmg_10k_2024,data/raw/annual_reports/1058090/2024/cmg_10k_2024.txt,71157b75660371b3661231700e8e1b103a5bbe0852d397539b0865cd6b0c66a3,txt,18594481,pending,10-K,v1,2025-12-06T19:23:55.190099+11:00,
34,11,48,CMG,Chipotle Mexican Grill,0001058090,2025,,cmg_10k_2025,data/raw/annual_reports/1058090/2025/cmg_10k_2025.txt,4076f360a5188fd56ce2d3a047f6ce16db3f0656e8b21f7119e7453e7f1b38f8,txt,9800784,pending,10-K,v1,2025-12-06T19:23:55.190099+11:00,
35,12,49,CB,Chubb Limited,0000896159,2023,,cb_10k_2023,data/raw/annual_reports/896159/2023/cb_10k_2023.html,40ae57530bffb1ec4b463042174acbec0b86ee30027dda1f8521cc29f84bb405,html,1897233,pending,10-K,v1,2025-12-06T19:23:55.264721+11:00,
36,12,50,CB,Chubb Limited,0000896159,2025,,cb_10k_2025,data/raw/annual_reports/896159/2025/cb_10k_2025.txt,a76a7b4c7dc18f2ce00ba44c072b54fbdd3500c0b1dd26c828fa7c9b3df91a8a,txt,49004183,pending,10-K,v1,2025-12-06T19:23:55.264721+11:00,
37,13,51,CHD,Church & Dwight,0000313927,2022,,chd_10k_2022,data/raw/annual_reports/313927/2022/chd_10k_2022.html,321cdffc2837f782a43e441ea7a88d30099c60c13aa2f459be1749c83ab1327b,html,4719695,pending,10-K,v1,2025-12-06T19:23:55.299415+11:00,
38,13,52,CHD,Church & Dwight,0000313927,2023,,chd_10k_2023,data/raw/annual_reports/313927/2023/chd_10k_2023.txt,9859357cf5bc3739870f33b645208f2d12e23b6cae44a04359b0ff8a7c2f0d2b,txt,24399535,pending,10-K,v1,2025-12-06T19:23:55.299415+11:00,
39,13,53,CHD,Church & Dwight,0000313927,2024,,chd_10k_2024,data/raw/annual_reports/313927/2024/chd_10k_2024.txt,84ff59194ce32b33246e5338fc76436d8aa56b6a490b2d919a9e2a9b248d7db2,txt,17179734,pending,10-K,v1,2025-12-06T19:23:55.299415+11:00,
40,13,54,CHD,Church & Dwight,0000313927,2025,,chd_10k_2025,data/raw/annual_reports/313927/2025/chd_10k_2025.txt,d4331d0fc921915dbcab685511c325632a70a1fa7a4ef9976ee0008b3d1617c9,txt,19883736,pending,10-K,v1,2025-12-06T19:23:55.299415+11:00,
41,14,55,CI,Cigna,0001739940,2021,,ci_10k_2021,data/raw/annual_reports/1739940/2021/ci_10k_2021.txt,89a3bfdcfc206636d4b9ef0b00579ccc886238f5a0704abe15f9442b720b4aab,txt,32963629,pending,10-K,v1,2025-12-06T19:23:55.347254+11:00,
42,14,56,CI,Cigna,0001739940,2022,,ci_10k_2022,data/raw/annual_reports/1739940/2022/ci_10k_2022.html,280d9ff6f4d7a245ea22ad7d76c5be2abbc05cda98ac4a213708f8cf6a803389,html,6478726,pending,10-K,v1,2025-12-06T19:23:55.347254+11:00,
43,14,57,CI,Cigna,0001739940,2023,,ci_10k_2023,data/raw/annual_reports/1739940/2023/ci_10k_2023.txt,2c17e5cbe9916fc8a4cb7200f7fc50dfc74d15ab39c77605730f02d9e75924cd,txt,30960615,pending,10-K,v1,2025-12-06T19:23:55.347254+11:00,
44,14,58,CI,Cigna,0001739940,2024,,ci_10k_2024,data/raw/annual_reports/1739940/2024/ci_10k_2024.txt,297ff644b913ee49312f343b61e834b5828b728235d51458bb79cb0f892a8277,txt,31401519,pending,10-K,v1,2025-12-06T19:23:55.347254+11:00,
45,14,59,CI,Cigna,0001739940,2025,,ci_10k_2025,data/raw/annual_reports/1739940/2025/ci_10k_2025.txt,662f031cc92525d2b12d460e9dc0a15e47462efe4ab2d5a469952c605e3a9b60,txt,27879194,pending,10-K,v1,2025-12-06T19:23:55.347254+11:00,
46,15,60,CINF,Cincinnati Financial,0000020286,2021,,cinf_10k_2021,data/raw/annual_reports/20286/2021/cinf_10k_2021.html,18a5af10e122980cfec18c3e7c8f76a652a31b59da6e548845218fed7c532eb9,html,8404156,pending,10-K,v1,2025-12-06T19:23:55.436841+11:00,
47,15,61,CINF,Cincinnati Financial,0000020286,2022,,cinf_10k_2022,data/raw/annual_reports/20286/2022/cinf_10k_2022.txt,ab36fa7ee3f7b40e62beda5ab4ed6cb534bad6da93e8c92afd63adc66022aee1,txt,29402888,pending,10-K,v1,2025-12-06T19:23:55.436841+11:00,
48,15,62,CINF,Cincinnati Financial,0000020286,2023,,cinf_10k_2023,data/raw/annual_reports/20286/2023/cinf_10k_2023.txt,6b09bf524f53ce425da72f9412434018a8e36d452208b1ef54c09c1b105bc545,txt,29573611,pending,10-K,v1,2025-12-06T19:23:55.436841+11:00,
49,15,63,CINF,Cincinnati Financial,0000020286,2024,,cinf_10k_2024,data/raw/annual_reports/20286/2024/cinf_10k_2024.html,13bca251f911f6bd7a42431fddb101cc3eefb05b5dda03705282a1fe13b4b994,html,7490465,pending,10-K,v1,2025-12-06T19:23:55.436841+11:00,
50,15,64,CINF,Cincinnati Financial,0000020286,2025,,cinf_10k_2025,data/raw/annual_reports/20286/2025/cinf_10k_2025.html,5404251573943a93af6a27c662e58444d9da63807618b15975ec62c6827e18d1,html,7430058,pending,10-K,v1,2025-12-06T19:23:55.436841+11:00,
51,16,65,CTAS,Cintas,0000723254,2021,,ctas_10k_2021,data/raw/annual_reports/723254/2021/ctas_10k_2021.html,53b0afcf4999b49f15f53669d4504c6ef654d00d6625763999a8cc8c77903476,html,8723,pending,10-K,v1,2025-12-06T19:23:55.496076+11:00,
52,16,66,CTAS,Cintas,0000723254,2022,,ctas_10k_2022,data/raw/annual_reports/723254/2022/ctas_10k_2022.html,a668d7a90eed60e4b36dbd14728937a2b9b03b08a34919ae3ab9fa16d4eb99e1,html,8695,pending,10-K,v1,2025-12-06T19:23:55.496076+11:00,
53,16,67,CTAS,Cintas,0000723254,2023,,ctas_10k_2023,data/raw/annual_reports/723254/2023/ctas_10k_2023.txt,3d92cfbb001b453876307c62ff778c75ed0e089a3f8f0072bb954358a2369967,txt,14798277,pending,10-K,v1,2025-12-06T19:23:55.496076+11:00,
54,16,68,CTAS,Cintas,0000723254,2024,,ctas_10k_2024,data/raw/annual_reports/723254/2024/ctas_10k_2024.txt,e329e4f803513af2c465863c1f46a54384f362f43139d27b92c1270356e0ece3,txt,15729082,pending,10-K,v1,2025-12-06T19:23:55.496076+11:00,
55,16,69,CTAS,Cintas,0000723254,2025,,ctas_10k_2025,data/raw/annual_reports/723254/2025/ctas_10k_2025.txt,863244ea3490781d315ca44b2855294fa0f9a011ba1c13d5bcf84cbec7ee4de5,txt,14758281,pending,10-K,v1,2025-12-06T19:23:55.496076+11:00,
56,17,70,CSCO,Cisco,0000858877,2021,,csco_10k_2021,data/raw/annual_reports/858877/2021/csco_10k_2021.html,4b37cf0d2c17dfbb2204f90fb8d7e781d011601b938b8f79c0d0628cb7b1b1b3,html,4460962,pending,10-K,v1,2025-12-06T19:23:55.533173+11:00,
57,17,71,CSCO,Cisco,0000858877,2023,,csco_10k_2023,data/raw/annual_reports/858877/2023/csco_10k_2023.txt,ce39de7f4b104ce245221a509b10831a835808d453006bfbb95edcf1d46c9246,txt,20682790,pending,10-K,v1,2025-12-06T19:23:55.533173+11:00,
